Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,HourlyRate,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,OverTime,PercentSalaryHike,WorkLifeBalance,MonthlyIncome,TrainingTimesLastYear,NumCompaniesWorked,MaritalStatus,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,TWYears_zscore,YearsAtCompany_zscore,YearsInCurrentRole_zscore,YearsWithCurrManager_zscore,YearsSinceLastPromotion_zscore,Cluster
37.11526232114468,Yes,2,Sales,Near,3,Technical Degree,86,4,1,3,1,Yes,22,3,14336.0,3.0,0,2,3.0,9,9.0,4,7,7,-0.30519607850808317,0.9956851396429715,0.7570021353344899,0.7985960322954003,0.5561433808593677,1
51.0,Yes,2,Research & Development,Near,4,Life Sciences,48,3,1,1,4,Yes,11,3,16307.0,2.0,0,1,3.0,1,1.0,0,0,0,-1.337731912811372,-1.0576076076914387,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,1
38.0,No,2,Sales,Near,4,Marketing,87,3,1,2,2,No,11,1,4865.5,2.0,7,1,3.0,4,1.0,0,0,0,-0.9505309749476386,-1.0576076076914387,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
36.0,No,1,Sales,Near,4,Life Sciences,42,2,1,2,4,Yes,12,3,3688.0,2.0,8,2,3.0,19,1.0,0,0,0,0.9854737143710278,-1.0576076076914387,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
29.0,No,0,Research & Development,Very far,3,Medical,67,2,1,2,2,No,12,4,4319.0,1.0,4,1,3.0,17,10.0,1,2,2,0.7273397557952056,1.2523467330597726,-0.6249624735907111,-0.6045248866821875,-0.37295569472133927,0
34.0,No,1,Sales,Very far,3,Marketing,95,4,1,2,3,No,21,3,4033.0,3.0,1,1,3.0,8,3.0,1,7,7,-0.4342630577959943,-0.5442844208578362,0.7570021353344899,0.7985960322954003,-0.37295569472133927,0
41.0,No,2,Research & Development,Near,3,Life Sciences,59,4,1,1,1,No,14,3,8392.0,3.0,3,2,3.0,11,10.0,1,2,2,-0.04706211993226098,1.2523467330597726,-0.6249624735907111,-0.6045248866821875,-0.37295569472133927,2
35.0,No,1,Research & Development,Near,3,Life Sciences,41,1,1,5,1,No,11,1,9069.0,3.0,5,1,4.0,33,9.0,11,8,10,2.792411424401783,0.9956851396429715,1.03339505711953,1.640468583681953,2.7240412238810174,2
37.11526232114468,Yes,2,Research & Development,Far,3,Technical Degree,49,2,1,5,3,No,12,3,4865.5,6.0,1,1,3.0,23,1.0,15,15,8,1.5017416315226721,-1.0576076076914387,2.9681455096148115,1.079220216090918,3.96283999132196,0
48.0,No,2,Research & Development,Very far,4,Other,32,4,1,2,4,No,25,3,10999.0,3.0,1,2,3.0,20,15.0,13,11,17,1.1145406936589388,2.5356547001437795,1.8625738224746506,3.6048378702505754,3.343440607601489,2
38.0,No,2,Research & Development,Very far,4,Life Sciences,93,3,1,1,4,No,22,3,3944.0,3.0,4,0,3.0,11,3.0,1,5,7,-0.04706211993226098,-0.5442844208578362,0.2042162917644095,0.7985960322954003,-0.37295569472133927,0
37.11526232114468,Yes,2,Sales,Very far,2,Medical,79,2,1,2,1,No,18,3,3681.0,3.0,8,2,3.0,7,3.0,2,2,2,-0.5633300370839054,-0.5442844208578362,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,0
46.0,No,2,Research & Development,Near,4,Life Sciences,76,2,1,1,4,No,18,3,9619.0,3.0,1,0,3.0,10,9.0,2,7,8,-0.1761290992201721,0.9956851396429715,0.7570021353344899,1.079220216090918,-0.06325600286110364,2
41.0,No,2,Sales,Near,4,Life Sciences,92,4,1,3,4,No,13,3,2451.0,2.0,6,0,3.0,12,9.0,0,9,8,0.08200485935565012,0.9956851396429715,1.3097879789045703,1.079220216090918,-0.682655386581575,0
36.0,No,2,Sales,Near,3,Medical,42,3,1,2,3,No,11,3,6134.0,3.0,9,2,3.0,8,2.0,1,2,4,-0.4342630577959943,-0.8009460142746375,-0.6249624735907111,-0.04327651909115238,-0.37295569472133927,2
28.0,No,0,Research & Development,Near,5,Other,30,2,1,1,4,No,17,3,2706.0,3.0,0,2,3.0,4,3.0,2,2,2,-0.9505309749476386,-0.5442844208578362,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,0
34.0,No,2,Research & Development,Far,3,Medical,74,4,1,1,1,Yes,16,2,3622.0,3.0,4,0,3.0,17,6.0,2,2,2,0.7273397557952056,0.22570035939256758,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,0
33.0,No,2,Research & Development,Near,3,Other,35,4,1,2,2,No,15,2,5207.0,3.0,3,2,3.0,8,8.0,0,3,1,-0.4342630577959943,0.7390235462261702,-0.3485695518056709,-0.8851490704777051,-0.682655386581575,0
41.0,No,0,Research & Development,Far,1,Medical,95,3,1,1,4,Yes,23,3,6151.0,4.0,8,1,3.0,7,7.0,0,2,2,-0.5633300370839054,0.4823619528093689,-0.6249624735907111,-0.6045248866821875,-0.682655386581575,2
44.0,No,2,Research & Development,Near,2,Medical,76,3,1,2,3,No,15,3,3420.0,3.0,0,0,3.0,11,5.0,0,8,7,-0.04706211993226098,-0.03096123402423368,1.03339505711953,0.7985960322954003,-0.682655386581575,2
21.0,No,2,Sales,Near,3,Medical,49,4,1,4,3,Yes,12,2,3117.0,2.0,9,0,3.0,28,2.0,11,2,13,2.1470765279622275,-0.8009460142746375,-0.6249624735907111,2.482341135068505,2.7240412238810174,0
26.0,No,2,Research & Development,Near,4,Medical,68,4,1,2,4,No,15,2,5472.0,2.0,4,1,3.0,14,8.0,1,1,7,0.3401388179314723,0.7390235462261702,-0.9013553953757513,0.7985960322954003,-0.37295569472133927,0
45.0,No,0,Sales,Near,4,Marketing,46,4,1,2,4,No,20,3,5154.0,3.0,0,2,3.0,8,8.0,0,7,5,-0.4342630577959943,0.7390235462261702,0.7570021353344899,0.23734766470436516,-0.682655386581575,2
48.0,No,2,Research & Development,Near,2,Medical,91,3,1,2,3,No,12,2,18265.0,3.0,5,1,3.0,9,1.0,1,3,3,-0.30519607850808317,-1.0576076076914387,-0.3485695518056709,-0.32390070288666994,-0.37295569472133927,1
56.0,Yes,2,Research & Development,Near,4,Medical,58,4,1,2,1,No,15,1,11103.0,1.0,1,2,3.0,10,10.0,0,3,8,-0.1761290992201721,1.2523467330597726,-0.3485695518056709,1.079220216090918,-0.682655386581575,2
37.11526232114468,No,2,Research & Development,Far,3,Medical,47,1,1,2,4,No,17,3,2028.0,6.0,1,1,3.0,10,10.0,3,8,7,-0.1761290992201721,1.2523467330597726,1.03339505711953,0.7985960322954003,0.24644368899913202,0
34.0,No,2,Sales,Near,1,Medical,58,3,1,1,1,Yes,11,3,4865.5,2.0,1,2,3.0,2,2.0,1,2,2,-1.208664933523461,-0.8009460142746375,-0.6249624735907111,-0.6045248866821875,-0.37295569472133927,0
19.0,No,2,Research & Development,Near,2,Medical,30,4,1,1,2,No,12,2,2564.0,3.0,4,2,3.0,13,1.0,7,7,2,0.21107183864356122,-1.0576076076914387,0.7570021353344899,-0.6045248866821875,1.4852424564400748,0
44.0,No,2,Research & Development,Near,3,Medical,78,3,1,1,4,No,11,3,4865.5,3.0,4,2,4.0,7,5.0,0,1,0,-0.5633300370839054,-0.03096123402423368,-0.9013553953757513,-1.1657732542732226,-0.682655386581575,2
37.11526232114468,Yes,2,Research & Development,Near,4,Life Sciences,57,2,1,1,4,Yes,13,2,2451.0,3.0,4,0,3.0,10,1.0,1,7,0,-0.1761290992201721,-1.0576076076914387,0.7570021353344899,-1.1657732542732226,-0.37295569472133927,0
51.0,No,2,Sales,Far,1,Medical,40,2,1,1,3,No,11,3,10596.0,5.0,1,1,3.0,7,4.0,0,4,6,-0.5633300370839054,-0.28762282744103496,-0.0721766300206307,0.5179718484998828,-0.682655386581575,2
24.0,No,1,Research & Development,Near,3,Life Sciences,82,3,1,1,4,No,11,4,4865.5,2.0,1,1,3.0,5,0.0,0,3,3,-0.8214639956597276,-1.31426920110824,-0.3485695518056709,-0.32390070288666994,-0.682655386581575,0
31.0,No,1,Research & Development,Near,3,Medical,94,4,1,1,4,No,23,2,3722.0,2.0,1,1,3.0,5,2.0,0,2,4,-0.8214639956597276,-0.8009460142746375,-0.6249624735907111,-0.04327651909115238,-0.682655386581575,0
37.11526232114468,No,2,Research & Development,Near,3,Medical,48,2,1,1,2,No,12,2,5208.0,2.0,1,1,3.0,6,6.0,1,4,1,-0.6923970163718165,0.22570035939256758,-0.0721766300206307,-0.8851490704777051,-0.37295569472133927,0
33.0,Yes,1,Research & Development,Very far,2,Life Sciences,97,1,1,2,1,No,20,3,4865.5,3.0,3,2,3.0,20,10.0,1,3,3,1.1145406936589388,1.2523467330597726,-0.3485695518056709,-0.32390070288666994,-0.37295569472133927,0
31.0,No,2,Research & Development,Near,3,Medical,87,4,1,1,4,No,13,2,6929.0,3.0,2,2,3.0,6,6.0,1,2,2,-0.6923970163718165,0.22570035939256758,-0.6249624735907111,-0.6045248866821875,-0.37295569472133927,0
46.0,No,2,Research & Development,Far,4,Technical Degree,37,3,1,1,2,No,14,3,19627.0,0.0,9,1,3.0,4,2.0,2,2,2,-0.9505309749476386,-0.8009460142746375,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,1
27.0,No,1,Research & Development,Near,2,Medical,100,4,1,1,3,No,17,4,4865.5,3.0,1,2,3.0,3,3.0,1,2,0,-1.0795979542355498,-0.5442844208578362,-0.6249624735907111,-1.1657732542732226,-0.37295569472133927,0
29.0,No,1,Research & Development,Very far,5,Life Sciences,44,1,1,4,4,No,14,3,3812.0,3.0,2,2,3.0,16,11.0,0,0,0,0.5982727765072945,1.509008326476574,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
27.0,No,2,Research & Development,Near,5,Medical,92,4,1,1,3,Yes,13,1,2226.0,3.0,6,1,3.0,6,5.0,0,0,1,-0.6923970163718165,-0.03096123402423368,-1.1777483171607914,-0.8851490704777051,-0.682655386581575,0
46.0,No,2,Research & Development,Near,3,Life Sciences,42,3,1,3,4,Yes,25,3,8578.0,3.0,1,1,3.0,16,9.0,6,11,8,0.5982727765072945,0.9956851396429715,1.8625738224746506,1.079220216090918,1.175542764579839,2
36.0,No,1,Research & Development,Near,3,Medical,83,1,1,1,3,Yes,19,2,4865.5,3.0,4,1,3.0,7,4.0,0,2,2,-0.5633300370839054,-0.28762282744103496,-0.6249624735907111,-0.6045248866821875,-0.682655386581575,0
37.11526232114468,No,2,Research & Development,Near,3,Life Sciences,96,3,1,3,4,Yes,19,3,9957.0,3.0,1,1,3.0,9,6.0,6,7,7,-0.30519607850808317,0.22570035939256758,0.7570021353344899,0.7985960322954003,1.175542764579839,2
36.0,No,2,Research & Development,Very far,5,Medical,72,2,1,2,3,Yes,15,3,2644.0,3.0,3,1,4.0,15,3.0,10,11,7,0.4692057972193834,-0.5442844208578362,1.8625738224746506,0.7985960322954003,2.414341532020782,0
23.0,No,2,Research & Development,Near,4,Life Sciences,62,1,1,1,4,Yes,24,2,2647.0,6.0,2,1,3.0,10,5.0,0,2,2,-0.1761290992201721,-0.03096123402423368,-0.6249624735907111,-0.6045248866821875,-0.682655386581575,0
50.0,No,2,Research & Development,Near,1,Life Sciences,45,4,1,2,3,No,17,2,19331.0,2.0,1,1,3.0,10,1.0,1,9,9,-0.1761290992201721,-1.0576076076914387,1.3097879789045703,1.3598443998864354,-0.37295569472133927,1
37.0,No,2,Research & Development,Near,4,Life Sciences,57,3,1,2,3,No,21,2,13664.0,3.0,1,0,3.0,13,5.0,1,12,9,0.21107183864356122,-0.03096123402423368,2.1389667442596907,1.3598443998864354,-0.37295569472133927,1
28.0,No,2,Sales,Near,3,Life Sciences,37,4,1,3,3,No,15,3,4865.5,2.0,1,2,3.0,9,8.0,1,8,7,-0.30519607850808317,0.7390235462261702,1.03339505711953,0.7985960322954003,-0.37295569472133927,0
48.0,No,2,Sales,Far,3,Life Sciences,77,3,1,2,3,No,14,3,4865.5,3.0,1,0,3.0,10,0.0,0,7,4,-0.1761290992201721,-1.31426920110824,0.7570021353344899,-0.04327651909115238,-0.682655386581575,2
44.0,No,2,Research & Development,Near,4,Medical,43,4,1,1,3,Yes,17,4,19049.0,3.0,1,0,3.0,5,5.0,2,3,0,-0.8214639956597276,-0.03096123402423368,-0.3485695518056709,-1.1657732542732226,-0.06325600286110364,1
22.0,No,1,Research & Development,Very far,1,Life Sciences,31,1,1,1,3,No,17,2,2853.0,5.0,1,0,3.0,5,0.0,4,2,3,-0.8214639956597276,-1.31426920110824,-0.6249624735907111,-0.32390070288666994,0.5561433808593677,0
25.0,No,1,Sales,Very far,4,Marketing,71,3,1,2,4,Yes,22,1,5206.0,6.0,0,2,3.0,11,5.0,1,7,0,-0.04706211993226098,-0.03096123402423368,0.7570021353344899,-1.1657732542732226,-0.37295569472133927,0
35.0,No,2,Sales,Near,4,Marketing,32,3,1,2,1,No,14,3,10903.0,2.0,0,2,3.0,16,13.0,2,13,8,0.5982727765072945,2.0223315133101765,2.4153596660447314,1.079220216090918,-0.06325600286110364,2
37.0,No,1,Research & Development,Near,3,Life Sciences,86,4,1,1,2,No,17,2,9525.0,2.0,5,1,3.0,7,5.0,0,4,2,-0.5633300370839054,-0.03096123402423368,-0.0721766300206307,-0.6045248866821875,-0.682655386581575,2
27.0,No,2,Sales,Near,2,Life Sciences,42,3,1,2,4,Yes,12,3,2045.0,0.0,1,1,3.0,7,4.0,0,7,7,-0.5633300370839054,-0.28762282744103496,0.7570021353344899,0.7985960322954003,-0.682655386581575,0
30.0,No,2,Research & Development,Near,3,Life Sciences,51,1,1,4,3,No,13,1,3748.0,6.0,6,1,3.0,26,12.0,0,2,1,1.8889425693864055,1.7656699198933752,-0.6249624735907111,-0.8851490704777051,-0.682655386581575,0
38.0,No,1,Research & Development,Near,4,Life Sciences,66,1,1,1,2,No,22,3,1702.0,3.0,1,1,4.0,5,1.0,0,4,2,-0.8214639956597276,-1.0576076076914387,-0.0721766300206307,-0.6045248866821875,-0.682655386581575,0
48.0,No,1,Research & Development,Near,5,Life Sciences,43,3,1,1,3,No,20,3,15202.0,3.0,3,2,4.0,8,2.0,1,4,4,-0.4342630577959943,-0.8009460142746375,-0.0721766300206307,-0.04327651909115238,-0.37295569472133927,1
37.11526232114468,No,2,Human Resources,Near,3,Human Resources,100,1,1,1,2,No,13,3,18722.0,3.0,5,0,3.0,13,13.0,3,10,8,0.21107183864356122,2.0223315133101765,1.5861809006896104,1.079220216090918,0.24644368899913202,1
37.11526232114468,No,2,Research & Development,Far,4,Life Sciences,35,4,1,2,1,Yes,17,2,12490.0,5.0,6,0,3.0,9,9.0,1,3,2,-0.30519607850808317,0.9956851396429715,-0.3485695518056709,-0.6045248866821875,-0.37295569472133927,1
40.0,Yes,2,Sales,Near,3,Technical Degree,56,4,1,2,4,No,14,4,4865.5,3.0,3,1,3.0,19,7.0,0,0,0,0.9854737143710278,0.4823619528093689,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,2
37.0,No,2,Sales,Near,2,Life Sciences,70,1,1,3,4,No,14,3,2996.0,2.0,3,1,3.0,24,6.0,1,0,0,1.6308086108105833,0.22570035939256758,-1.1777483171607914,-1.1657732542732226,-0.37295569472133927,0
47.0,No,1,Sales,Far,3,Technical Degree,84,3,1,1,4,No,15,3,2976.0,3.0,1,1,3.0,3,0.0,0,1,2,-1.0795979542355498,-1.31426920110824,-0.9013553953757513,-0.6045248866821875,-0.682655386581575,2
36.0,No,0,Research & Development,Near,1,Life Sciences,41,3,1,4,3,Yes,19,3,2810.0,3.0,2,1,3.0,30,5.0,2,11,12,2.4052104865380497,-0.03096123402423368,1.8625738224746506,2.201716951272988,-0.06325600286110364,0
33.0,No,2,Sales,Near,4,Marketing,68,1,1,3,1,No,14,3,4865.5,0.0,2,1,4.0,9,2.0,2,2,2,-0.30519607850808317,-0.8009460142746375,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,0
42.0,No,1,Research & Development,Near,3,Technical Degree,64,3,1,1,3,No,13,2,2759.0,2.0,1,0,3.0,1,1.0,0,0,0,-1.337731912811372,-1.0576076076914387,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
31.0,Yes,1,Research & Development,Very far,2,Medical,66,4,1,2,2,No,22,4,4865.5,3.0,4,1,3.0,13,1.0,3,7,7,0.21107183864356122,-1.0576076076914387,0.7570021353344899,0.7985960322954003,0.24644368899913202,0
26.0,No,1,Research & Development,Very far,3,Medical,49,4,1,1,2,No,22,3,2042.0,3.0,8,2,3.0,6,3.0,1,3,2,-0.6923970163718165,-0.5442844208578362,-0.3485695518056709,-0.6045248866821875,-0.37295569472133927,0
45.0,No,2,Sales,Near,3,Marketing,96,3,1,2,1,No,11,3,6632.0,3.0,4,0,3.0,15,8.0,2,2,2,0.4692057972193834,0.7390235462261702,-0.6249624735907111,-0.6045248866821875,-0.06325600286110364,2
38.0,No,0,Research & Development,Very far,2,Life Sciences,93,2,1,2,4,No,13,2,4865.5,3.0,0,1,3.0,10,10.0,3,8,8,-0.1761290992201721,1.2523467330597726,1.03339505711953,1.079220216090918,0.24644368899913202,0
35.0,No,2,Research & Development,Near,4,Life Sciences,42,3,1,2,3,No,11,3,7295.0,3.0,7,2,3.0,19,10.0,0,0,0,0.9854737143710278,1.2523467330597726,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,2
32.0,No,2,Research & Development,Far,3,Medical,44,3,1,5,3,No,14,4,4078.0,3.0,1,2,3.0,21,3.0,4,7,9,1.24360767294685,-0.5442844208578362,0.7570021353344899,1.3598443998864354,0.5561433808593677,0
38.0,No,2,Research & Development,Far,3,Medical,60,2,1,2,4,Yes,16,3,2844.0,2.0,3,1,3.0,15,7.0,1,0,0,0.4692057972193834,0.4823619528093689,-1.1777483171607914,-1.1657732542732226,-0.37295569472133927,0
36.0,No,2,Research & Development,Near,4,Other,50,2,1,4,4,Yes,14,2,4865.5,2.0,4,0,3.0,21,16.0,0,0,0,1.24360767294685,2.7923162935605808,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
29.0,No,2,Research & Development,Near,4,Life Sciences,40,3,1,1,4,No,17,3,2340.0,1.0,3,1,3.0,6,6.0,0,0,0,-0.6923970163718165,0.22570035939256758,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
37.11526232114468,Yes,2,Sales,Near,3,Marketing,33,4,1,1,1,No,19,2,2269.0,2.0,1,1,3.0,1,1.0,1,0,0,-1.337731912811372,-1.0576076076914387,-1.1777483171607914,-1.1657732542732226,-0.37295569472133927,0
41.0,No,2,Research & Development,Near,4,Medical,33,4,1,2,3,No,15,3,8938.0,5.0,0,1,3.0,4,4.0,1,2,2,-0.9505309749476386,-0.28762282744103496,-0.6249624735907111,-0.6045248866821875,-0.37295569472133927,2
37.11526232114468,No,2,Research & Development,Far,4,Life Sciences,78,1,1,2,4,No,20,3,4865.5,2.0,2,2,3.0,18,2.0,0,9,9,0.8564067350831167,-0.8009460142746375,1.3097879789045703,1.3598443998864354,-0.682655386581575,0
37.11526232114468,No,2,Research & Development,Near,5,Life Sciences,63,4,1,2,4,No,14,1,2436.0,2.0,9,1,3.0,5,5.0,0,2,2,-0.8214639956597276,-0.03096123402423368,-0.6249624735907111,-0.6045248866821875,-0.682655386581575,0
34.0,Yes,0,Sales,Near,3,Life Sciences,64,2,1,2,1,No,11,3,4865.5,3.0,1,1,3.0,10,10.0,6,8,7,-0.1761290992201721,1.2523467330597726,1.03339505711953,0.7985960322954003,1.175542764579839,0
25.0,No,2,Human Resources,Near,1,Technical Degree,52,3,1,1,3,Yes,11,3,4256.0,1.0,0,0,3.0,4,4.0,1,2,0,-0.9505309749476386,-0.28762282744103496,-0.6249624735907111,-1.1657732542732226,-0.37295569472133927,0
26.0,No,2,Research & Development,Near,2,Life Sciences,100,3,1,2,4,No,14,4,5296.0,3.0,5,0,3.0,17,8.0,0,0,0,0.7273397557952056,0.7390235462261702,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
34.0,No,2,Research & Development,Very far,5,Medical,60,1,1,3,1,Yes,17,3,3737.0,1.0,3,1,3.0,20,3.0,0,0,0,1.1145406936589388,-0.5442844208578362,-1.1777483171607914,-1.1657732542732226,-0.682655386581575,0
32.0,No,1,Research & Development,Near,3,Medical,54,4,1,4,4,No,19,2,4865.5,5.0,6,2,4.0,29,10.0,12,7,7,2.2761435072501386,1.2523467330597726,0.7570021353344899,0.7985960322954003,3.033740915741253,0
